Name
Adroit(e)
Accessible
Accessible
Accueillant(e)
Adobe illustrator
Adobe photoshop
Adroit(e)
Agréable
Aidant(e)
Aidant(e)
Aimable
Aimable
Algorithme
Alibre
Altruiste
Ambitieux(euse)
Ambitieux(euse)
Amdec
Amélioration des processus commerciaux
Amusant(e)
Amusant(e)
Analyse financière
Android
Anglais
Angular
Apaisant(e)
Apaisant(e)
Appliqué(e)
Appliqué(e)
Arduino
Assertif(ive)
Assertif(ive)
Assurance qualité
Astucieux(euse)
Astucieux(euse)
Attachant
Attentif(ive)
Attentionné(e)
Attentionné(e)
Audacieux(euse)
Audacieux(euse)
Autonome
Autonome
Avenant
Avenant(e)
Aventureux(euse)
Aventureux(euse)
Back
Banque
Base de données
Beau(belle!)
Beau(belle!)
Bienveillant(e)
Bienveillant(e)
Biocellulaire
Blockchange
Bonne pratique
Boucher
Brillant(e)
Brillant(e)
Budget
Business to business(BtoB)
Calme
Calme
CanOpen
Captivant(e)
Captivant(e)
Carreleur
Catia
Chaleureux
Charismatique
Charmant(e)
Charmant(e)
Charpentier
Ciel
Combatif(ive)
Combatif(ive)
Communicatif(ive)
Communicatif(ive)
Compétences analytiques
Compréhensif(ive)
Concentré(capacitéàêtre)
Concepteur
Conciliant(e)
Conciliant(e)
Confiant(e)
Confiant(e)
Conformiste
Conformiste
Consciencieux
Consolidation d'équipe
Convaincant(e)
Convaincant(e)
Coopératif(ive)
Coopératif(ive)
Courageux(euse)
Courageux(euse)
Courtois(e)
Courtois(e)
Couture
Couvreur
Créatif(ive)
Créatif(ive)
Css
Cuisine
Cultivé(e)
Curieux(euse)
Curieux(euse)
Cybersecurité
Cycle de vie de développement de logiciel (SDLC)
Débrouillard(e)
Débrouillard(e)
Décidé(e)
Délicat(e)
Délicat(e)
Design Web
Déterminé(e)
Déterminé(e)
Deutz
Dévellopement organisationel
Développement des zones rurales
Developpeur
Dévoué(e)
Dévoué(e)
Digital
Digne de confiance
Dignedeconfiance
Diplomate
Diplomate
Direct(e)
Direct(e)
Discipliné
Discipliné(e)
Discipliné(e)
Discret(e)
Discret(e)
Disert(e)
Disert(e)
Disponible
Doux(ouce)
Doux(ouce)
Droit(e)
Droit(e)
Drôle
Drôle
Dynamique
Dynamique
Ecoute(à l’)
Efficace
Efficace
